user_id;nama;username;password;role;saldo
16521233;Libri;haqufa;uqcbtjl30;admin;5000000
16521044;Najmi;imjan;uqcbtjl41;admin;5000000
16521125;Gibran;narbig;uqcbtjl42;admin;5000000
16521386;Ilham;mahil;uqcbtjl43;admin;5000000
26521233;Aya;aya_kuti;gege07;user;250000
26521234;Noe-Noe-kun;noire76;ebsltubu45;user;250000
26521235;Zidane Sopane;platypus_depok;upyjd5mjgf;user;250000
26521236;Mr. X;tyranre2;yhpohjw3v;user;250000
26521237;Gopal;gops;hpqthpl23;user;0
26521238;Narga;cuga;yhnl890;user;0
26521239;Manny;mani;otks78;user;0
26521240;Merry;meride;efnefn456;user;0
